"","x"
"1","78663"
"2","78644"
"3","76574"
"4","78712"
"5","78721"
"6","78745"
"7","78757"
"8","78641"
"9","78653"
"10","78612"
"11","78621"
"12","78669"
"13","78723"
"14","78654"
"15","78722"
"16","78664"
"17","78728"
"18","78610"
"19","78681"
"20","78617"
"21","78735"
"22","78746"
"23","78731"
"24","78737"
"25","78742"
"26","78605"
"27","78701"
"28","78717"
"29","78750"
"30","78705"
"31","78620"
"32","78747"
"33","78628"
"34","78759"
"35","78753"
"36","78744"
"37","78642"
"38","78702"
"39","78741"
"40","78752"
"41","78626"
"42","78645"
"43","78613"
"44","78615"
"45","78652"
"46","78660"
"47","78665"
"48","78640"
"49","78616"
"50","78704"
"51","78719"
"52","78703"
"53","78724"
"54","78751"
"55","78754"
"56","78756"
"57","78758"
"58","78725"
"59","78727"
"60","78729"
"61","78730"
"62","78732"
"63","78734"
"64","78736"
"65","78738"
"66","78749"
"67","78634"
"68","78726"
"69","78739"
"70","78748"
"71","78733"
